customer_no,num_stb_last_5_years,num_yrs_donor,num_yrs_sub,num_yrs_stb,Donor_Category
94603,3,18,22,14,Under-Patron
94980,4,10,22,20,Under-Patron
95677,8,21,7,18,Under-Patron
95977,6,3,4,12,Under-Patron
96203,0,21,21,14,Under-Patron
96363,7,4,6,12,Under-Patron
96410,0,15,17,7,Under-Patron
96596,4,1,0,7,Under-Patron
97165,1,19,22,17,Under-Patron
97298,6,8,10,17,Under-Patron
97341,4,12,17,17,Under-Patron
97406,16,22,19,21,Under-Patron
97590,3,16,19,18,Under-Patron
97643,23,15,21,22,Under-Patron
98072,2,8,15,9,Under-Patron
98195,6,2,22,17,Under-Patron
98420,0,18,18,14,Under-Patron
98606,5,2,4,2,Under-Patron
98862,4,22,0,6,Under-Patron
98916,13,10,22,20,Under-Patron
99254,12,6,21,22,Under-Patron
99286,1,18,18,17,Under-Patron
100982,0,2,1,2,Under-Patron
101296,21,7,16,20,Under-Patron
101425,0,18,0,11,Under-Patron
101614,0,3,0,5,Under-Patron
101912,6,5,0,10,Under-Patron
101951,1,1,0,6,Under-Patron
102255,2,1,0,6,Under-Patron
102540,4,20,22,20,Under-Patron
102754,0,15,18,13,Under-Patron
102771,25,8,21,18,Under-Patron
103104,0,5,2,4,Under-Patron
103194,7,22,22,20,Under-Patron
103457,0,4,11,5,Under-Patron
104049,6,3,0,10,Under-Patron
104084,3,11,20,17,Under-Patron
104501,0,7,1,2,Under-Patron
104518,0,21,4,1,Under-Patron
104951,9,22,19,21,Under-Patron
104970,3,18,22,19,Under-Patron
104979,1,1,0,9,Under-Patron
105273,0,16,4,10,Under-Patron
105364,13,2,22,20,Under-Patron
105406,4,11,21,17,Under-Patron
106917,0,11,2,4,Under-Patron
107020,0,17,20,11,Under-Patron
107675,0,19,0,2,Under-Patron
107802,1,21,21,11,Under-Patron
108010,1,3,22,11,Under-Patron
108612,3,8,7,7,Under-Patron
108641,11,15,9,15,Under-Patron
108702,8,11,22,20,Under-Patron
108879,1,12,0,1,Under-Patron
108905,4,22,22,20,Under-Patron
109023,1,10,0,1,Under-Patron
109262,0,4,5,4,Under-Patron
109915,2,20,22,13,Under-Patron
110663,3,4,20,13,Under-Patron
111073,1,2,20,15,Under-Patron
111585,16,12,20,21,Under-Patron
111682,6,18,21,20,Under-Patron
111913,10,9,13,13,Under-Patron
112191,8,22,22,18,Under-Patron
112398,12,3,17,17,Under-Patron
112511,7,19,15,18,Under-Patron
112520,7,13,22,20,Under-Patron
113060,6,4,15,14,Under-Patron
113159,5,2,3,7,Under-Patron
113205,16,3,6,6,Under-Patron
113969,0,15,0,2,Under-Patron
114268,18,19,17,21,Under-Patron
115143,12,9,16,12,Under-Patron
115178,7,2,0,5,Under-Patron
115735,0,19,3,7,Under-Patron
115884,0,13,16,13,Under-Patron
115917,1,3,18,9,Under-Patron
116036,16,10,22,14,Under-Patron
116354,4,2,14,12,Under-Patron
116804,1,2,1,6,Under-Patron
116846,16,17,19,17,Under-Patron
117011,7,22,22,16,Under-Patron
117034,4,10,9,11,Under-Patron
117178,0,3,2,2,Under-Patron
117884,14,20,22,21,Under-Patron
117971,0,15,0,9,Under-Patron
118442,21,4,9,12,Under-Patron
118601,6,2,21,17,Under-Patron
119375,1,10,1,8,Under-Patron
119703,0,2,1,2,Under-Patron
120280,0,1,0,16,Under-Patron
120285,2,15,21,17,Under-Patron
120411,6,18,22,20,Under-Patron
120448,5,18,22,15,Under-Patron
120546,0,18,15,16,Under-Patron
120633,5,5,9,9,Under-Patron
120755,3,4,0,9,Under-Patron
120904,3,18,0,18,Under-Patron
120984,7,18,22,16,Under-Patron
121188,2,8,22,13,Under-Patron
121189,12,3,20,15,Under-Patron
121619,0,18,0,1,Under-Patron
121789,9,3,9,16,Under-Patron
122308,0,22,0,3,Under-Patron
122694,3,4,4,9,Under-Patron
122740,7,5,9,16,Under-Patron
122806,10,11,11,9,Under-Patron
123038,2,14,22,16,Under-Patron
125157,2,2,0,10,Under-Patron
125322,1,13,19,13,Under-Patron
125639,2,19,14,17,Under-Patron
126376,17,6,21,19,Under-Patron
127007,10,7,14,14,Under-Patron
127679,6,12,15,12,Under-Patron
127851,2,5,9,4,Under-Patron
128433,0,1,4,9,Under-Patron
128863,2,19,22,14,Under-Patron
129249,14,9,16,20,Under-Patron
129295,1,10,10,9,Under-Patron
131016,7,22,18,15,Under-Patron
131060,0,14,0,2,Under-Patron
131423,11,10,21,20,Under-Patron
132092,0,20,11,14,Under-Patron
132467,7,21,22,18,Under-Patron
132602,8,17,20,11,Under-Patron
132691,5,3,5,4,Under-Patron
132703,0,16,10,3,Under-Patron
132822,5,17,22,21,Under-Patron
133153,3,1,0,17,Under-Patron
133488,13,3,1,8,Under-Patron
133580,0,4,4,5,Under-Patron
133649,4,9,22,19,Under-Patron
133894,9,2,22,20,Under-Patron
134482,8,2,5,16,Under-Patron
134489,0,5,16,15,Under-Patron
134588,0,19,9,13,Under-Patron
134608,5,10,7,12,Under-Patron
134848,6,3,15,17,Under-Patron
134923,0,22,2,12,Under-Patron
135116,10,10,14,14,Under-Patron
135300,3,8,14,14,Under-Patron
135467,14,21,20,21,Under-Patron
135729,12,5,18,15,Under-Patron
138469,2,7,9,11,Under-Patron
140576,1,12,17,10,Under-Patron
140899,9,6,3,4,Under-Patron
141772,4,1,22,16,Under-Patron
141987,5,1,1,7,Under-Patron
142102,0,6,17,12,Under-Patron
142284,3,3,0,2,Under-Patron
142689,14,5,11,16,Under-Patron
144004,1,3,0,2,Under-Patron
144252,0,10,16,15,Under-Patron
144400,7,2,16,13,Under-Patron
144857,0,2,0,2,Under-Patron
145158,4,4,5,17,Under-Patron
145537,0,2,0,1,Under-Patron
145598,1,8,0,4,Under-Patron
146004,2,16,16,16,Under-Patron
146169,0,11,0,3,Under-Patron
146189,0,13,16,15,Under-Patron
146505,1,18,22,11,Under-Patron
147631,0,5,8,6,Under-Patron
147793,0,5,1,3,Under-Patron
148087,5,11,18,17,Under-Patron
148673,2,6,11,10,Under-Patron
148838,14,21,22,21,Under-Patron
149023,8,1,9,15,Under-Patron
150354,1,10,19,12,Under-Patron
150656,11,2,12,16,Under-Patron
151409,0,1,3,5,Under-Patron
152491,7,17,21,20,Under-Patron
152519,2,7,22,14,Under-Patron
152924,11,18,14,11,Under-Patron
153102,1,8,14,15,Under-Patron
153447,8,21,22,20,Under-Patron
153505,0,5,19,13,Under-Patron
153950,3,13,0,11,Under-Patron
153983,0,13,21,12,Under-Patron
154129,1,14,12,17,Under-Patron
154286,13,18,12,16,Under-Patron
154339,2,8,14,13,Under-Patron
154699,3,1,0,14,Under-Patron
154841,0,11,12,12,Under-Patron
154965,0,15,22,13,Under-Patron
155110,7,17,22,20,Under-Patron
155354,2,3,0,9,Under-Patron
156060,1,3,0,5,Under-Patron
156158,6,7,7,14,Under-Patron
156501,3,1,0,2,Under-Patron
156603,4,3,9,20,Under-Patron
156744,7,7,15,13,Under-Patron
156784,1,20,0,12,Under-Patron
156823,1,4,4,7,Under-Patron
157055,15,21,22,22,Under-Patron
157704,0,21,15,12,Under-Patron
158177,8,3,10,8,Under-Patron
158244,0,5,5,5,Under-Patron
158286,12,8,21,19,Under-Patron
158427,13,1,5,5,Under-Patron
159413,1,11,17,16,Under-Patron
159791,0,2,0,1,Under-Patron
159808,9,19,18,19,Under-Patron
159907,0,14,10,11,Under-Patron
160327,0,5,22,10,Under-Patron
160600,0,6,0,2,Under-Patron
160814,0,5,18,13,Under-Patron
160840,5,18,21,19,Under-Patron
160914,0,10,15,9,Under-Patron
161031,4,9,15,14,Under-Patron
161065,1,7,1,5,Under-Patron
161382,3,17,17,15,Under-Patron
161436,0,15,5,5,Under-Patron
161655,3,6,20,12,Under-Patron
162169,4,7,21,17,Under-Patron
162754,9,14,22,17,Under-Patron
163030,7,8,10,9,Under-Patron
163164,0,20,15,15,Under-Patron
163608,6,14,14,14,Under-Patron
164129,6,6,9,8,Under-Patron
164277,0,3,17,14,Under-Patron
165658,7,3,22,19,Under-Patron
166886,7,11,17,13,Under-Patron
167669,8,1,3,4,Under-Patron
168233,1,1,2,8,Under-Patron
168895,7,8,11,12,Under-Patron
168932,1,10,19,12,Under-Patron
169064,1,7,0,7,Under-Patron
169233,7,10,22,19,Under-Patron
169323,7,21,20,21,Under-Patron
169650,1,3,2,2,Under-Patron
169897,9,16,22,16,Under-Patron
170032,2,12,22,14,Under-Patron
170876,1,21,20,16,Under-Patron
170878,0,8,2,3,Under-Patron
170898,2,1,3,5,Under-Patron
170952,1,1,0,1,Under-Patron
170967,15,19,21,21,Under-Patron
171026,0,12,0,7,Under-Patron
171068,0,19,0,6,Under-Patron
171349,14,3,10,9,Under-Patron
171690,8,22,22,20,Under-Patron
174396,4,5,9,15,Under-Patron
174666,9,14,18,7,Under-Patron
175063,3,7,20,18,Under-Patron
175085,8,3,3,4,Under-Patron
176140,2,1,0,14,Under-Patron
177101,0,12,21,14,Under-Patron
177199,2,3,0,9,Under-Patron
177647,2,18,22,19,Under-Patron
179042,0,17,0,1,Under-Patron
179064,0,20,0,2,Under-Patron
179077,4,18,5,19,Under-Patron
179407,0,5,2,5,Under-Patron
179543,0,11,9,11,Under-Patron
179782,9,18,21,17,Under-Patron
179941,0,19,13,15,Under-Patron
180377,0,5,1,1,Under-Patron
180385,5,21,21,20,Under-Patron
180538,2,17,0,16,Under-Patron
180826,23,3,20,21,Under-Patron
181244,0,10,0,2,Under-Patron
181839,1,2,0,1,Under-Patron
181990,2,9,17,10,Under-Patron
182749,0,14,12,11,Under-Patron
184549,10,9,15,17,Under-Patron
184826,2,1,0,1,Under-Patron
186640,3,5,7,12,Under-Patron
187686,5,8,22,18,Under-Patron
187879,9,6,9,7,Under-Patron
188065,1,9,16,8,Under-Patron
188163,2,13,12,10,Under-Patron
188298,2,7,9,11,Under-Patron
188727,11,13,19,18,Under-Patron
188867,9,11,17,16,Under-Patron
189255,3,2,21,15,Under-Patron
189715,5,17,22,21,Under-Patron
190470,2,1,0,2,Under-Patron
191937,6,3,5,13,Under-Patron
192750,3,21,21,17,Under-Patron
192942,10,7,22,19,Under-Patron
193240,0,18,20,8,Under-Patron
193737,0,8,0,5,Under-Patron
193752,12,16,22,21,Under-Patron
193787,6,9,22,18,Under-Patron
194226,12,3,15,13,Under-Patron
194283,5,5,6,8,Under-Patron
194862,20,6,20,22,Under-Patron
194921,7,6,17,15,Under-Patron
195044,0,20,16,13,Under-Patron
195072,8,6,10,8,Under-Patron
196071,8,9,3,16,Under-Patron
196531,11,20,22,20,Under-Patron
196643,1,5,4,13,Under-Patron
196967,9,8,17,18,Under-Patron
196970,18,19,20,18,Under-Patron
197121,0,10,6,10,Under-Patron
197133,1,17,2,6,Under-Patron
197210,7,2,19,19,Under-Patron
197272,0,11,3,15,Under-Patron
198093,4,2,0,5,Under-Patron
198482,18,3,22,20,Under-Patron
