customer_no,Affinity_Rating,Capacity_Rating,PROscore,Frequency,Monetary,Propensity_Rating,Donor_Category
3206080,1,1,1,1,1,1,Under-Patron
3206084,1,2,2,1,1,3,Under-Patron
3206090,1,1,1,1,1,1,Under-Patron
3206114,1,1,1,1,1,1,Under-Patron
3206124,,,,,,,Under-Patron
3206125,1,2,1,1,1,1,Under-Patron
3206126,,,,,,,Under-Patron
3206127,1,1,1,1,1,1,Under-Patron
3206129,4,1,3,1,1,4,Under-Patron
3206130,1,2,2,1,1,4,Under-Patron
3206168,1,1,2,1,1,4,Under-Patron
3206203,1,1,1,1,1,1,Under-Patron
3206204,1,1,1,,,2,Under-Patron
3206217,1,1,1,1,1,1,Under-Patron
3206220,4,4,4,1,1,4,Under-Patron
3206227,1,1,1,1,1,1,Under-Patron
3206240,1,1,1,1,1,1,Under-Patron
3206248,1,1,1,1,1,1,Under-Patron
3206259,1,3,2,1,1,1,Under-Patron
3206274,1,1,1,1,1,1,Under-Patron
3206276,1,1,1,1,1,1,Under-Patron
3206278,1,4,3,,,4,Under-Patron
3206281,1,1,1,1,1,1,Under-Patron
3206283,1,2,2,1,1,4,Under-Patron
3206296,1,2,2,1,1,3,Under-Patron
3206308,4,1,3,1,1,4,Under-Patron
3206318,1,1,1,1,1,1,Under-Patron
3206325,1,1,1,1,1,1,Under-Patron
3206330,3,1,2,1,1,3,Under-Patron
3206348,1,1,1,1,1,1,Under-Patron
3206357,1,1,1,1,1,1,Under-Patron
3206366,1,2,2,,,3,Under-Patron
3206373,1,1,1,,,1,Under-Patron
3206377,1,1,1,1,1,1,Under-Patron
3206389,1,2,1,1,1,1,Under-Patron
3206410,1,2,2,1,1,4,Under-Patron
3206413,1,1,1,1,1,1,Under-Patron
3206416,3,1,3,1,1,4,Under-Patron
3206424,1,1,1,1,1,1,Under-Patron
3206425,1,2,2,1,1,4,Under-Patron
3206427,1,1,1,1,1,1,Under-Patron
3206447,1,1,1,1,1,1,Under-Patron
3206485,1,1,1,,,1,Under-Patron
3206553,1,1,2,1,1,4,Under-Patron
3206601,1,1,1,1,1,1,Under-Patron
3206603,1,3,2,,,3,Under-Patron
3206630,4,2,3,1,1,4,Under-Patron
3206631,1,1,1,1,1,1,Under-Patron
3206632,1,1,1,1,1,1,Under-Patron
3206641,3,1,2,1,1,2,Under-Patron
3206663,1,2,2,1,1,3,Under-Patron
3206696,1,2,1,1,1,1,Under-Patron
3206709,1,1,1,1,1,1,Under-Patron
3206715,1,1,1,1,1,1,Under-Patron
3206720,,,,,,,Under-Patron
3206724,4,4,4,1,1,4,Under-Patron
3206771,1,1,1,,,1,Under-Patron
3206791,1,1,1,1,1,1,Under-Patron
3206795,3,2,3,1,1,3,Under-Patron
3206801,1,1,1,1,1,1,Under-Patron
3206807,1,2,1,1,1,1,Under-Patron
3206814,1,1,1,1,1,1,Under-Patron
