customer_no,Days Since Last Ticket Order,Days Since Last Gift,Days Since Last Activity Date,Contribution_Last_Amount,Contribution_last_year_giving,Days since Last Contribution,Donor_Category
3217645,1022,1022,321,11.1,,1023,Under-Patron
3217687,1183,1183,376,20,,1184,Under-Patron
3217701,1183,1182,700,25,,1183,Under-Patron
3217703,1006,1182,648,20,,1183,Under-Patron
3217705,452,452,235,15,,453,Under-Patron
3217778,840,610,321,50,,611,Under-Patron
3217784,461,1180,376,2.5,,1181,Under-Patron
3217805,1180,1180,700,4,,1181,Under-Patron
3217859,920,918,321,8,,919,Under-Patron
3217866,444,442,22,200,,443,Under-Patron
3217868,72,1176,14,20,,1177,Under-Patron
3217870,1179,1176,646,5000,,1141,Under-Patron
3217893,838,520,22,5000,,632,Under-Patron
3217895,1178,404,22,375,,405,Under-Patron
3217920,1176,1175,700,60,,1176,Under-Patron
3217922,1176,1175,700,3,,1176,Under-Patron
3217933,85,707,35,10,,708,Under-Patron
3217954,45868,1173,700,10,,1174,Under-Patron
3217970,168,732,168,50,,733,Under-Patron
3218112,45868,1125,700,,,1125,Under-Patron
3218142,533,1126,35,9,,1127,Under-Patron
3218143,120,236,22,150,300,237,Under-Patron
3218148,2378,735,321,50,,736,Under-Patron
3218156,861,860,321,100,,861,Under-Patron
3218173,99,48,48,35,35,49,Under-Patron
3218189,343,208,22,500,500,211,Under-Patron
3218190,265,588,235,10,,589,Under-Patron
3218192,1107,1106,376,13.5,,1107,Under-Patron
3218224,1101,1100,321,55.6,,1101,Under-Patron
3218229,567,665,522,29.5,,1197,Under-Patron
3218246,818,355,22,100,100,356,Under-Patron
3218249,305,183,138,25,25,184,Under-Patron
3218282,968,1086,321,9.2,,1087,Under-Patron
3218284,488,487,23,10,,488,Under-Patron
3218294,456,537,153,20,,538,Under-Patron
3218307,119,1084,90,10,,1085,Under-Patron
3218311,3992,1051,359,250,,1052,Under-Patron
3218323,1085,1084,321,13,,1085,Under-Patron
3218326,1085,1084,321,35,,1085,Under-Patron
3218382,1081,1079,321,25,,1080,Under-Patron
3218402,446,445,321,15,,446,Under-Patron
3218449,1077,1076,321,10,,1077,Under-Patron
3218455,45868,1076,321,15,,1077,Under-Patron
3218477,1075,1072,321,67,,1073,Under-Patron
3218481,123,42,7,25,25,43,Under-Patron
3218483,267,839,35,100,,840,Under-Patron
3218485,45868,1072,321,18.5,,1073,Under-Patron
3218489,1008,1072,321,100,,1073,Under-Patron
3218499,1074,1072,321,16.65,,1073,Under-Patron
3218503,806,806,321,61,,807,Under-Patron
3218517,1073,1072,321,20,,1073,Under-Patron
3218524,1073,1072,321,9.9,,1073,Under-Patron
3218553,75,236,22,145,145,237,Under-Patron
3218555,346,244,35,25,25,245,Under-Patron
3218561,315,1071,315,5,,1072,Under-Patron
3218598,1071,1070,321,25,,1071,Under-Patron
3218609,1071,1069,321,8.75,,1070,Under-Patron
3218623,995,1070,321,10,,1071,Under-Patron
3218624,574,718,321,1,,719,Under-Patron
3218630,1070,1016,321,6,,1017,Under-Patron
3218653,376,308,22,300,300,309,Under-Patron
3218655,1069,1068,321,16.9,,1069,Under-Patron
3218656,309,715,309,5,,716,Under-Patron
